Date,Day,Home,Division,League,Matchup,,,,Attend,IL?,Notes,
3-Apr,Thurs,White Sox,AL Central,AL,Minnesota 10 at Chicago White Sox 9,Thielbar (1-0),Lindstrom (0-1),Perkins (1),11056,,,
3-Apr,Thurs,Dbacks,NL West,NL,San Francisco 8 at Arizona 5,Machi (2-0),Harris (0-1),,19131,,,
3-Apr,Thurs,Orioles,AL East,AL,Boston 4 at Baltimore 3,Doubront (1-0),Chen (0-1),Uehara (1),20880,,,
3-Apr,Thurs,Rays,AL East,AL,at Tampa Bay 7 Toronto 2,Archer (1-0),Morrow (0-1),,9571,,,
3-Apr,Thurs,Astros,AL West,AL,NY Yankees 4 at Houston 2,Nova (1-0),Oberholtzer (0-1),Robertson (1),26348,,,
3-Apr,Thurs,Athletics,AL West,AL,at Oakland 3 Seattle 2,Pomeranz (1-0),Noesi (0-1),,11236,,,
4-Apr,Fri,Nationals,NL East,NL,Atlanta 2 at Washington 1,Avilan (1-0),Clippard (0-1),Kimbrel (3),42834,,,
4-Apr,Fri,Tigers,AL Central,AL,at Detroit 10 Baltimore 4,Smyly (1-0),Gonzalez (0-1),,23625,,,
4-Apr,Fri,Red Sox,AL East,AL,Milwaukee 6 at Boston 2,Kintzler (1-0),Mujica (0-1),,36728,,,
4-Apr,Fri,Cubs,NL Central,NL,Philadelphia 7 at Chicago Cubs 2,Hernandez (1-0),Wood (0-1),,38283,,,
4-Apr,Fri,Indians,AL Central,AL,at Cleveland 7 Minnesota 2,Outman (1-0),Pelfrey (0-1),,41274,,,
4-Apr,Fri,Royals,AL Central,AL,at Kansas City 7 Chicago White Sox 5,Guthrie (1-0),Johnson (0-1),Holland (1),40103,,,
4-Apr,Fri,Dodgers,NL West,NL,San Francisco 8 at LA Dodgers 4,Huff (1-0),Ryu (0-1),,53493,,,
4-Apr,Fri,Rockies,NL West,NL,at Colorado 12 Arizona 2,Nicasio (1-0),Delgado (0-1),,49130,,,
4-Apr,Fri,Pirates,NL Central,NL,at Pittsburgh 12 St. Louis 2,Cole (1-0),Miller (0-1),,23342,,,
4-Apr,Fri,Blue Jays,AL East,AL,NY Yankees 7 at Toronto 3,Tanaka (1-0),McGowan (0-1),,48197,,,
4-Apr,Fri,Mets,NL East,NL,at NY Mets 4 Cincinnati 3,Mejia (1-0),Leake (0-1),Valverde (1),35845,,,
4-Apr,Fri,Marlins,NL East,NL,at Miami 8 San Diego 2,Koehler (1-0),Stults (0-1),Hand (1),17783,,,
4-Apr,Fri,Rays,AL East,AL,at Tampa Bay 8 Texas 1,Odorizzi (1-0),Saunders (0-1),,14304,,,
4-Apr,Fri,Astros,AL West,AL,LA Angels 11 at Houston 1,Richards (1-0),Harrell (0-1),,15611,,,
4-Apr,Fri,Athletics,AL West,AL,Seattle at Oakland,Postponed,,,N/A,,,
5-Apr,Sat,Indians,AL Central,AL,Minnesota 7 at Cleveland 3,Gibson (1-0),Carrasco (0-1),,14153,,,
5-Apr,Sat,Blue Jays,AL East,AL,at Toronto 4 NY Yankees 0,Dickey (1-1),Pineda (0-1),Santos (2),45446,,,
5-Apr,Sat,Tigers,AL Central,AL,at Detroit 7 Baltimore 6,Porcello (1-0),Norris (0-1),Nathan (1),32041,,,
5-Apr,Sat,Mets,NL East,NL,at NY Mets 6 Cincinnati 3,Torres (1-0),Hoover (1-1),,25424,,,
5-Apr,Sat,Royals,AL Central,AL,at Kansas City 4 Chicago White Sox 3,Davis (1-1),Downs (0-1),Holland (2),21463,,,
5-Apr,Sat,Cubs,NL Central,NL,Philadelphia 2 at Chicago Cubs 0,Lee (2-0),Samardzija (0-1),Papelbon (1),30651,,,
5-Apr,Sat,Athletics,AL West,AL,Seattle 3 at Oakland 1,Hernandez (2-0),Straily (0-1),Rodney (1),30290,,,
5-Apr,Sat,Dodgers,NL West,NL,San Francisco 7 at LA Dodgers 2,Bumgarner (1-0),Maholm (0-1),,49520,,,
5-Apr,Sat,Nationals,NL East,NL,Atlanta 6 at Washington 2,Teheran (1-1),Strasburg (0-1),,37841,,,
5-Apr,Sat,Pirates,NL Central,NL,St. Louis 6 at Pittsburgh 1,Kelly (1-0),Liriano (0-1),,30092,,,
5-Apr,Sat,Red Sox,AL East,AL,Milwaukee 7 at Boston 6,Thornburg (1-0),Badenhop (0-1),Rodriguez (2),35729,y,,
5-Apr,Sat,Astros,AL West,AL,LA Angels 5 at Houston 1,Skaggs (1-0),Keuchel (0-1),,28515,,,
5-Apr,Sat,Marlins,NL East,NL,at Miami 5 San Diego 0,Fernandez (2-0),Cashner (0-1),,35188,,,
5-Apr,Sat,Rays,AL East,AL,at Tampa Bay 5 Texas 4,Gomes (1-0),Cotts (0-1),Balfour (1),30364,,,
5-Apr,Sat,Rockies,NL West,NL,at Colorado 9 Arizona 4,Kahnle (1-0),McCarthy (0-1),,33078,,,
6-Apr,Sun,Indians,AL Central,AL,Minnesota 10 at Cleveland 7,Swarzak (1-0),Wood (0-1),Perkins (2),13104,,,
6-Apr,Sun,Blue Jays,AL East,AL,NY Yankees 6 at Toronto 4,Sabathia (1-1),Hutchison (1-1),Robertson (2),34067,,,
6-Apr,Sun,Tigers,AL Central,AL,Baltimore 3 at Detroit 1,Tillman (1-0),Verlander (0-1),Hunter (2),34261,,,
6-Apr,Sun,Mets,NL East,NL,Cincinnati 2 at NY Mets 1,Simon (1-0),Niese (0-1),Parra (1),26928,,,
6-Apr,Sun,Marlins,NL East,NL,San Diego 4 at Miami 2,Kennedy (1-1),Eovaldi (1-1),Street (2),22496,,,
6-Apr,Sun,Red Sox,AL East,AL,Milwaukee 4 at Boston 0,Gallardo (2-0),Lester (0-2),,35958,y,,
6-Apr,Sun,Nationals,NL East,NL,at Washington 2 Atlanta 1,Blevins (1-0),Wood (1-1),Soriano (1),34327,,,
6-Apr,Sun,Pirates,NL Central,NL,at Pittsburgh 2 St. Louis 1,Watson (1-0),Wainwright (1-1),Grilli (1),25704,,,
6-Apr,Sun,Rays,AL East,AL,Texas 3 at Tampa Bay 0,Darvish (1-0),Peralta (0-1),Soria (1),22569,,,
6-Apr,Sun,Royals,AL Central,AL,Chicago White Sox 5 at Kansas City 1,Sale (2-0),Shields (0-1),,29760,,,
6-Apr,Sun,Astros,AL West,AL,at Houston 7 LA Angels 4,Feldman (2-0),Weaver (0-2),Qualls (1),14786,,,
6-Apr,Sun,Cubs,NL Central,NL,at Chicago Cubs 8 Philadelphia 3,Villanueva (1-2),Burnett (0-1),,26712,,,
6-Apr,Sun,Athletics,AL West,AL,at Oakland 6 Seattle 3,Gray (1-0),Ramirez (1-1),Johnson (1),32852,,,
6-Apr,Sun,Rockies,NL West,NL,Arizona 5 at Colorado 3,Miley (2-1),Anderson (0-2),Reed (2),29779,,,
