Date,Day,Home,Division,League,Matchup,,,,Attend,IL?,Notes,
12-May,Mon,Mariiners,AL West,AL,at Seattle 12 Tampa Bay 5,Hernandez (4-1),Ramos (1-2),,12392,,,
12-May,Mon,Dodgers,NL West,NL,at LA Dodgers 6 Miami 5,Haren (5-1),Koehler (3-3),Jansen (12),37187,,,
12-May,Mon,Giants,NL West,NL,at San Francisco 4 Atlanta 2,Lincecum (3-2),Floyd (0-1),Romo (13),41438,,,
13-May,Tues,Orioles,AL East,AL,Detroit 4 at Baltimore 1,Miller (1-0),Hunter (1-1),Nathan (9),29950,,,
13-May,Tues,Yankees,AL East,AL,NY Mets 12 at NY Yankees 7,Matsuzaka (1-0),Nuno (1-1),,45958,y,,
13-May,Tues,Phillies,NL East,NL,LA Angels 4 at Philadelphia 3,Shoemaker (1-1),Lee (3-4),Frieri (5),41959,y,,
13-May,Tues,Blue Jays,AL East,AL,at Toronto 5 Cleveland 4,Dickey (4-3),Masterson (2-2),Janssen (1),13673,,,
13-May,Tues,Reds,NL Central,NL,San Diego 2 at Cincinnati 1,Benoit (1-0),Chapman (0-1),Street (12),23269,,,
13-May,Tues,Royals,AL Central,AL,at Kansas City 5 Colorado 1,Shields (5-3),Morales (3-3),,15914,y,,
13-May,Tues,Brewers,NL Central,NL,at Milwaukee 5 Pittsburgh 2,Estrada (3-1),Cole (3-3),Rodriguez (16),24176,,,
13-May,Tues,Twins,AL Central,AL,at Minnesota 8 Boston 6,Perkins (1-0),Miller (1-1),,23949,,,
13-May,Tues,Astros,AL West,AL,at Houston 8 Texas 0,Keuchel (4-2),Harrison (1-1),,14028,,,
13-May,Tues,Cardinals,NL Central,NL,at St. Louis 4 Chicago Cubs 3,Maness (1-2),Grimm (1-2),,43627,,,
13-May,Tues,Dbacks,NL West,NL,at Arizona 3 Washington 1,Arroyo (4-2),Strasburg (3-3),,19025,,,
13-May,Tues,Athletics,AL West,AL,at Oakland 11 Chicago White Sox 0,Pomeranz (3-1),Carroll (1-3),,13826,,,
13-May,Tues,Mariiners,AL West,AL,Tampa Bay 2 at Seattle 1,Price (4-3),Rodney (1-2),,13446,,,
13-May,Tues,Dodgers,NL West,NL,at LA Dodgers 7 Miami 1,Beckett (1-1),Turner (0-1),,50349,,,
13-May,Tues,Giants,NL West,NL,Atlanta 5 at San Francisco 0,Minor (1-2),Vogelsong (1-2),,41506,,,
14-May,Weds,Orioles,AL East,AL,Detroit 7 at Baltimore 5,Verlander (5-2),Gausman (0-1),Nathan (10),36727,,,
14-May,Weds,Phillies,NL East,NL,LA Angels 3 at Philadelphia 0,Richards (4-0),Burnett (2-3),Smith (5),33308,y,,
14-May,Weds,Royals,AL Central,AL,at Kansas City 3 Colorado 2,Vargas (4-1),Chacin (0-2),Holland (10),27323,y,,
14-May,Weds,Athletics,AL West,AL,Chicago White Sox 4 at Oakland 2,Belisario (2-3),Abad (0-1),Lindstrom (6),18035,,,
14-May,Weds,Mariiners,AL West,AL,Tampa Bay 2 at Seattle 0,Odorizzi (2-3),Maurer (1-2),Balfour (7),20951,,,
14-May,Weds,Dbacks,NL West,NL,Washington 5 at Arizona 1,Clippard (4-2),Ziegler (0-1),,18325,,,
14-May,Weds,Giants,NL West,NL,at San Francisco 10 Atlanta 4,Bumgarner (5-3),Teheran (2-3),,41253,,,
14-May,Weds,Mets,NL East,NL,NY Yankees 4 at NY Mets 0,Tanaka (6-0),Montero (0-1),,35577,y,,
14-May,Weds,Blue Jays,AL East,AL,Cleveland 15 at Toronto 4,Kluber (4-3),McGowan (2-2),,14068,,,
14-May,Weds,Reds,NL Central,NL,San Diego at Cincinnati,Postponed,,,N/A,,,
14-May,Weds,Brewers,NL Central,NL,Pittsburgh 4 at Milwaukee 1,Watson (4-0),Rodriguez (1-1),Melancon (5),24962,,,
14-May,Weds,Twins,AL Central,AL,Boston 9 at Minnesota 4,Doubront (2-3),Correia (1-5),,26802,,,
14-May,Weds,Astros,AL West,AL,at Houston 5 Texas 4,Qualls (1-1),Martinez (0-1),,17783,,,
14-May,Weds,Cardinals,NL Central,NL,Chicago Cubs at St. Louis,Postponed,,,N/A,,,
14-May,Weds,Dodgers,NL West,NL,Miami 13 at LA Dodgers 3,DeSclafani (1-0),Maholm (1-4),Wolf (1),39498,,,
15-May,Thurs,Reds,NL Central,NL,at Cincinnati 5 San Diego 0,Cueto (4-2),Kennedy (2-5),,27686,,,
15-May,Thurs,Brewers,NL Central,NL,at Milwaukee 4 Pittsburgh 3,Wooten (1-1),Melancon (1-2),,34743,,,
15-May,Thurs,Twins,AL Central,AL,at Minnesota 4 Boston 3,Duensing (1-1),Miller (1-2),,29628,,,
15-May,Thurs,Cardinals,NL Central,NL,at St. Louis 5 Chicago Cubs 3,Wacha (3-3),Hammel (4-2),Rosenthal (11),42501,,,
15-May,Thurs,Reds,NL Central,NL,San Diego 6 at Cincinnati 1,Ross (5-3),Francis (0-1),,23544,,,
15-May,Thurs,Blue Jays,AL East,AL,at Toronto 4 Cleveland 2,Happ (2-1),Salazar (1-4),Janssen (2),17364,,,
15-May,Thurs,Mets,NL East,NL,NY Yankees 1 at NY Mets 0,Betances (2-0),deGrom (0-1),Robertson (7),40133,y,,
15-May,Thurs,Royals,AL Central,AL,Baltimore 2 at Kansas City 1,Chen (5-2),Ventura (2-3),Britton (1),12455,,,
15-May,Thurs,Angels,AL West,AL,at LA Angels 6 Tampa Bay 5,Salas (3-0),Boxberger (0-1),,34441,,,
15-May,Thurs,Giants,NL West,NL,at San Francisco 6 Miami 4,Cain (1-3),Eovaldi (2-2),Romo (14),41597,,,
16-May,Fri,Cubs,NL Central,NL,Milwaukee 4 at Chicago Cubs 3,Lohse (5-1),Samardzija (0-4),Rodriguez (17),35771,,,
16-May,Fri,Indians,AL Central,AL,Oakland 11 at Cleveland 1,Gray (5-1),McAllister (3-4),,21389,,,
16-May,Fri,Yankees,AL East,AL,Pittsburgh at NY Yankees,Postponed,,,N/A,y,,
16-May,Fri,Nationals,NL East,NL,at Washington 5 NY Mets 2,Roark (3-1),Niese (2-3),Soriano (9),34413,,,
16-May,Fri,Phillies,NL East,NL,Cincinnati 3 at Philadelphia 0,Simon (5-2),Kendrick (0-4),Chapman (2),27316,,,
16-May,Fri,Red Sox,AL East,AL,Detroit 1 at Boston 0,Scherzer (6-1),Lester (4-5),Nathan (11),37225,,,
16-May,Fri,Rangers,AL West,AL,Toronto 2 at Texas 0,Hutchison (2-3),Darvish (3-2),,39129,,,
16-May,Fri,Royals,AL Central,AL,Baltimore 4 at Kansas City 0,Tillman (4-2),Guthrie (2-3),,25985,,,
16-May,Fri,Twins,AL Central,AL,at Minnesota 5 Seattle 4,Gibson (4-3),Young (3-1),Perkins (11),27275,,,
16-May,Fri,Astros,AL West,AL,Chicago White Sox 7 at Houston 2,Quintana (2-3),McHugh (2-2),,17529,,,
16-May,Fri,Cardinals,NL Central,NL,at St. Louis 5 Atlanta 2,Lynn (5-2),Santana (4-1),Rosenthal (12),43701,,,
16-May,Fri,Rockies,NL West,NL,at Colorado 3 San Diego 1,De La Rosa (5-3),Stults (2-4),Hawkins (10),35384,,,
16-May,Fri,Dbacks,NL West,NL,LA Dodgers 7 at Arizona 0,Greinke (7-1),Miley (3-4),,31154,,,
16-May,Fri,Angels,AL West,AL,Tampa Bay 3 at LA Angels 0,Archer (3-2),Weaver (4-3),Balfour (8),38796,,,
16-May,Fri,Giants,NL West,NL,Miami 7 at San Francisco 5,Dunn (4-3),Casilla (1-1),Cishek (8),41819,,,
17-May,Sat,Cardinals,NL Central,NL,at St. Louis 4 Atlanta 1,Miller (6-2),Harang (4-4),Rosenthal (13),44981,,,
17-May,Sat,Cubs,NL Central,NL,at Chicago Cubs 3 Milwaukee 0,Jackson (3-3),Garza (2-4),Rondon (4),36671,,,
17-May,Sat,Yankees,AL East,AL,at NY Yankees 7 Pittsburgh 1,Phelps (1-0),Volquez (1-4),,47353,y,,
17-May,Sat,Nationals,NL East,NL,NY Mets 5 at Washington 2,Colon (3-5),Gonzalez (3-4),Mejia (1),41225,,,
17-May,Sat,Astros,AL West,AL,at Houston 6 Chicago White Sox 5,Cosart (3-3),Noesi (0-4),Qualls (3),20612,,,
17-May,Sat,Indians,AL Central,AL,Oakland 6 at Cleveland 2,Otero (4-0),Tomlin (2-1),,18358,,,
17-May,Sat,Phillies,NL East,NL,at Philadelphia 12 Cincinnati 1,Hamels (1-2),Bailey (3-3),,30075,,,
17-May,Sat,Red Sox,AL East,AL,Detroit 6 at Boston 1,Porcello (7-1),Lackey (5-3),,37608,,,
17-May,Sat,Royals,AL Central,AL,at Kansas City 1 Baltimore 0,Duffy (2-3),Norris (2-4),Holland (11),24064,,,
17-May,Sat,Twins,AL Central,AL,at Minnesota 4 Seattle 3,Deduno (1-2),Elias (3-3),Perkins (12),29717,,,
17-May,Sat,Rangers,AL West,AL,Toronto 4 at Texas 2,Delabar (3-0),Cotts (1-3),Janssen (3),39723,,,
17-May,Sat,Rockies,NL West,NL,San Diego 8 at Colorado 5,Erlin (3-4),Lyles (5-1),Street (13),40508,,,
17-May,Sat,Dbacks,NL West,NL,at Arizona 18 LA Dodgers 7,Anderson (2-0),Kershaw (2-1),,36688,,,
17-May,Sat,Angels,AL West,AL,at LA Angels 6 Tampa Bay 0,Wilson (5-3),Ramos (1-3),,42224,,,
17-May,Sat,Giants,NL West,NL,Miami 5 at San Francisco 0,Koehler (4-3),Lincecum (3-3),Cishek (9),41619,,,
18-May,Sun,Indians,AL Central,AL,Oakland 13 at Cleveland 3,Chavez (4-1),Masterson (2-3),,14872,,,
18-May,Sun,Yankees,AL East,AL,at NY Yankees 4 Pittsburgh 3,Kuroda (3-3),Morton (0-6),Robertson (8),N/A,y,,
18-May,Sun,Nationals,NL East,NL,at Washington 6 NY Mets 3,Zimmermann (3-1),Wheeler (1-4),Soriano (10),36965,,,
18-May,Sun,Phillies,NL East,NL,at Philadelphia 8 Cincinnati 3,Lee (4-4),Cingrani (2-3),,36096,,,
18-May,Sun,Royals,AL Central,AL,at Kansas City 8 Baltimore 6,Shields (6-3),Jimenez (2-5),Holland (12),22692,,,
18-May,Sun,Twins,AL Central,AL,Seattle 6 at Minnesota 2,Hernandez (5-1),Nolasco (2-4),,32511,,,
18-May,Sun,Astros,AL West,AL,at Houston 8 Chicago White Sox 2,Peacock (1-4),Danks (3-4),,21532,,,
18-May,Sun,Cardinals,NL Central,NL,Atlanta 6 at St. Louis 5,Carpenter (3-0),Rosenthal (0-2),Kimbrel (11),44278,,,
18-May,Sun,Cubs,NL Central,NL,at Chicago Cubs 4 Milwaukee 2,Wood (4-4),Estrada (3-2),Rondon (5),37631,,,
18-May,Sun,Rangers,AL West,AL,at Texas 6 Toronto 2,Poreda (2-0),Dickey (4-4),,43671,,,
18-May,Sun,Angels,AL West,AL,at LA Angels 6 Tampa Bay 2,Shoemaker (2-1),Price (4-4),,36655,,,
18-May,Sun,Giants,NL West,NL,at San Francisco 4 Miami 1,Vogelsong (2-2),Turner (0-2),Romo (15),41551,,,
18-May,Sun,Rockies,NL West,NL,at Colorado 8 San Diego 6,Masset (1-0),Thayer (2-2),,44092,,,
18-May,Sun,Dbacks,NL West,NL,at Arizona 5 LA Dodgers 3,Collmenter (2-2),Haren (5-2),Reed (12),35406,,,
18-May,Sun,Yankees,AL East,AL,Pittsburgh 5 at NY Yankees 3,Cole (4-3),Aceves (0-2),Melancon (6),46858,y,,
18-May,Sun,Red Sox,AL East,AL,Detroit 6 at Boston 2,Sanchez (1-2),Peavy (1-2),,35006,,,
19-May,Mon,Indians,AL Central,AL,at Cleveland 5 Detroit 4,Atchison (1-0),Alburquerque (1-1),,12709,,,
19-May,Mon,Nationals,NL East,NL,Cincinnati 4 at Washington 3,Ondrusek (1-2),Detwiler (0-2),,24505,,,
19-May,Mon,Braves,NL East,NL,at Atlanta 9 Milwaukee 3,Minor (2-2),Peralta (4-3),,20468,,,
19-May,Mon,Royals,AL Central,AL,Chicago White Sox 7 at Kansas City 6,Putnam (2-0),Vargas (4-2),Petricka (1),16462,,,
19-May,Mon,Angels,AL West,AL,Houston 5 at LA Angels 2,Keuchel (5-2),Richards (4-1),,33150,,,
20-May,Tues,Indians,AL Central,AL,at Cleveland 6 Detroit 2,Bauer (1-1),Verlander (5-3),,13924,,,
20-May,Tues,Nationals,NL East,NL,at Washington 9 Cincinnati 4,Fister (1-1),Cueto (4-3),,26455,,,
20-May,Tues,Pirates,NL Central,NL,Baltimore 9 at Pittsburgh 2,Gonzalez (2-3),Liriano (0-4),,22787,y,,
20-May,Tues,Red Sox,AL East,AL,Toronto 7 at Boston 4,Happ (3-1),Doubront (2-4),Janssen (4),37904,,,
20-May,Tues,Braves,NL East,NL,at Atlanta 5 Milwaukee 0,Teheran (3-3),Gallardo (2-3),,20045,,,
20-May,Tues,Mets,NL East,NL,LA Dodgers 9 at NY Mets 4,Beckett (2-1),Montero (0-2),,22288,,,
20-May,Tues,Marlins,NL East,NL,Philadelphia 6 at Miami 5,Burnett (3-3),DeSclafani (1-1),Papelbon (12),18699,,,
20-May,Tues,Rays,AL East,AL,Oakland 3 at Tampa Bay 0,Pomeranz (4-1),Odorizzi (2-4),Doolittle (3),11369,,,
20-May,Tues,Rangers,AL West,AL,Seattle 6 at Texas 2,Iwakuma (3-0),Lewis (3-3),,43706,,,
20-May,Tues,Cubs,NL Central,NL,at Chicago Cubs 6 NY Yankees 1,Hammel (5-2),Tanaka (6-1),,38753,y,,
20-May,Tues,Royals,AL Central,AL,Chicago White Sox 7 at Kansas City 6,Rienzo (4-0),Ventura (2-4),Belisario (1),14900,,,
20-May,Tues,Cardinals,NL Central,NL,at St. Louis 5 Arizona 0,Wainwright (7-2),Arroyo (4-3),,42252,,,
20-May,Tues,Rockies,NL West,NL,at Colorado 5 San Francisco 4,Hawkins (2-0),Romo (3-1),,31046,,,
20-May,Tues,Angels,AL West,AL,at LA Angels 9 Houston 3,Skaggs (4-1),Feldman (2-2),,30150,,,
20-May,Tues,Padres,NL West,NL,Minnesota 5 at San Diego 3,Correia (2-5),Kennedy (2-6),Perkins (13),19136,y,,
21-May,Weds,Indians,AL Central,AL,at Cleveland 11 Detroit 10,Tomlin (3-1),Coke (0-1),,19228,,,
21-May,Weds,Rangers,AL West,AL,at Texas 4 Seattle 3,Tepesch (1-0),Young (3-2),Soria (8),43654,,,
21-May,Weds,Cubs,NL Central,NL,NY Yankees 4 at Chicago Cubs 2,Claiborne (2-0),Veras (0-1),Robertson (9),34808,y,,
21-May,Weds,Nationals,NL East,NL,Cincinnati 2 at Washington 1,Simon (6-2),Roark (3-2),Chapman (3),28944,,,
21-May,Weds,Mets,NL East,NL,LA Dodgers 4 at NY Mets 3,Ryu (3-2),deGrom (0-2),Jansen (13),23721,,,
21-May,Weds,Pirates,NL Central,NL,at Pittsburgh 9 Baltimore 8,Morris (4-0),Webb (2-1),Melancon (7),19365,y,,
21-May,Weds,Red Sox,AL East,AL,Toronto 6 at Boston 4,Hutchison (3-3),Buchholz (2-4),Janssen (5),36116,,,
21-May,Weds,Braves,NL East,NL,Milwaukee 6 at Atlanta 1,Lohse (6-1),Santana (4-2),,18148,,,
21-May,Weds,Marlins,NL East,NL,at Miami 14 Philadelphia 5,Eovaldi (3-2),Kendrick (0-5),,18257,,,
21-May,Weds,Rays,AL East,AL,Oakland 3 at Tampa Bay 2,Milone (2-3),Bedard (2-2),Doolittle (4),10555,,,
21-May,Weds,Royals,AL Central,AL,at Kansas City 3 Chicago White Sox 1,Davis (3-1),Quintana (2-4),Holland (13),17576,,,
21-May,Weds,Cardinals,NL Central,NL,at St. Louis 3 Arizona 2,Maness (2-2),Cahill (1-5),,40542,,,
21-May,Weds,Rockies,NL West,NL,San Francisco 5 at Colorado 1,Petit (3-1),Chacin (0-3),,30411,,,
21-May,Weds,Padres,NL West,NL,Minnesota 2 at San Diego 0,Hughes (5-1),Ross (5-4),Perkins (14),16079,,,
21-May,Weds,Angels,AL West,AL,at LA Angels 2 Houston 1,Weaver (5-3),McHugh (2-3),,40112,,,
22-May,Thurs,Marlins,NL East,NL,at Miami 4 Philadelphia 3,Cishek (4-1),Diekman (2-2),,25507,,,
22-May,Thurs,Tigers,AL Central,AL,Texas 9 at Detroit 2,Darvish (4-2),Ray (1-1),,40768,,,
22-May,Thurs,Rockies,NL West,NL,San Francisco 4 at Colorado 2,Affeldt (1-1),Friedrich (0-1),Casilla (2),36468,,,
22-May,Thurs,Red Sox,AL East,AL,Toronto 7 at Boston 2,Buehrle (8-1),Lester (4-6),,36018,,,
22-May,Thurs,Rays,AL East,AL,at Tampa Bay 5 Oakland 2,Lueke (1-2),Otero (4-1),,11257,,,
22-May,Thurs,Orioles,AL East,AL,Cleveland 8 at Baltimore 7,Outman (4-0),Patton (0-1),Atchison (1),18894,,,
22-May,Thurs,Pirates,NL Central,NL,at Pittsburgh 3 Washington 1,Volquez (2-4),Treinen (0-2),Melancon (8),23468,,,
22-May,Thurs,Braves,NL East,NL,at Atlanta 5 Milwaukee 4,Wood (4-5),Kintzler (1-2),Kimbrel (12),30148,,,
22-May,Thurs,Mets,NL East,NL,at NY Mets 5 LA Dodgers 3,Niese (3-3),Perez (0-2),Mejia (2),23416,,,
22-May,Thurs,Cardinals,NL Central,NL,at St. Louis 4 Arizona 2,Neshek (1-0),Miley (3-5),Rosenthal (14),40787,,,
22-May,Thurs,White Sox,AL Central,AL,at Chicago White Sox 3 NY Yankees 2,Sale (4-0),Phelps (1-1),Belisario (2),21677,,,
22-May,Thurs,Mariiners,AL West,AL,at Seattle 3 Houston 1,Leone (1-0),Cosart (3-4),Rodney (12),13836,,,
22-May,Thurs,Padres,NL West,NL,Chicago Cubs 5 at San Diego 1,Arrieta (1-0),Stults (2-5),Villanueva (1),21263,,,
23-May,Fri,Orioles,AL East,AL,at Baltimore 8 Cleveland 4,Norris (3-4),House (0-1),,39602,,,
23-May,Fri,Phillies,NL East,NL,LA Dodgers 2 at Philadelphia 0,Kershaw (3-1),Hernandez (2-2),Jansen (14),27254,,,
23-May,Fri,Pirates,NL Central,NL,at Pittsburgh 4 Washington 3,Morton (1-6),Zimmermann (3-2),Grilli (5),31592,,,
23-May,Fri,Blue Jays,AL East,AL,at Toronto 3 Oakland 2,Hendriks (1-0),Kazmir (5-2),Janssen (6),21007,,,
23-May,Fri,Tigers,AL Central,AL,at Detroit 7 Texas 2,Sanchez (2-2),Baker (0-1),,39835,,,
23-May,Fri,Reds,NL Central,NL,at Cincinnati 5 St. Louis 3,Bailey (4-3),Miller (6-3),Chapman (4),37271,,,
23-May,Fri,Mets,NL East,NL,Arizona at NY Mets,Postponed,,,N/A,,,
23-May,Fri,Marlins,NL East,NL,Milwaukee 9 at Miami 5,Estrada (4-2),Koehler (4-4),,18989,,,
23-May,Fri,Rays,AL East,AL,at Tampa Bay 1 Boston 0,Oviedo (1-0),Miller (1-3),,20898,,,
23-May,Fri,Braves,NL East,NL,at Atlanta 3 Colorado 2,Carpenter (4-0),Ottavino (0-1),Kimbrel (13),25646,,,
23-May,Fri,White Sox,AL Central,AL,at Chicago White Sox 6 NY Yankees 5,Webb (4-0),Robertson (0-1),,27091,,,
23-May,Fri,Angels,AL West,AL,at LA Angels 6 Kansas City 1,Wilson (6-3),Duffy (2-4),,35082,,,
23-May,Fri,Mariiners,AL West,AL,at Seattle 6 Houston 1,Hernandez (6-1),Owens (0-1),,21192,,,
23-May,Fri,Padres,NL West,NL,at San Diego 11 Chicago Cubs 1,Stauffer (2-0),Jackson (3-4),,26489,,,
23-May,Fri,Giants,NL West,NL,at San Francisco 6 Minnesota 2,Lincecum (4-3),Gibson (4-4),Machi (2),41514,y,,
24-May,Sat,Orioles,AL East,AL,Cleveland 9 at Baltimore 0,Kluber (5-3),Jimenez (2-6),,36873,,,
24-May,Sat,Blue Jays,AL East,AL,at Toronto 5 Oakland 2,Dickey (5-4),Chavez (4-2),Cecil (3),29372,,,
24-May,Sat,White Sox,AL Central,AL,NY Yankees 4 at Chicago White Sox 3,Betances (3-0),Putnam (2-1),Robertson (10),33413,,,
24-May,Sat,Phillies,NL East,NL,at Philadelphia 5 LA Dodgers 3,Buchanan (1-0),Haren (5-3),Papelbon (13),32287,,,
24-May,Sat,Tigers,AL Central,AL,Texas 12 at Detroit 2,Martinez (1-1),Porcello (7-2),,43447,,,
24-May,Sat,Braves,NL East,NL,Colorado 3 at Atlanta 1,Nicasio (5-2),Minor (2-3),Hawkins (11),26741,,,
24-May,Sat,Mets,NL East,NL,Arizona 3 at NY Mets 2,Collmenter (3-2),Wheeler (1-5),Reed (13),24551,,,
24-May,Sat,Marlins,NL East,NL,at Miami 2 Milwaukee 1,Turner (1-2),Peralta (4-4),Cishek (10),25819,,,
24-May,Sat,Rays,AL East,AL,at Tampa Bay 6 Boston 5,Ramos (2-3),Miller (1-4),,23569,,,
24-May,Sat,Angels,AL West,AL,Kansas City 7 at LA Angels 4,Crow (2-1),Morin (0-1),Holland (14),42140,,,
24-May,Sat,Reds,NL Central,NL,St. Louis 6 at Cincinnati 3,Garcia (1-0),Cingrani (2-4),Rosenthal (15),41585,,,
24-May,Sat,Pirates,NL Central,NL,at Pittsburgh 3 Washington 2,Hughes (3-1),Strasburg (3-4),Melancon (9),38889,,,
24-May,Sat,Giants,NL West,NL,at San Francisco 2 Minnesota 1,Vogelsong (3-2),Deduno (1-3),Romo (16),41724,y,,
24-May,Sat,Mariiners,AL West,AL,Houston 9 at Seattle 4,Oberholtzer (1-6),Maurer (1-3),,21585,,,
24-May,Sat,Padres,NL West,NL,Chicago Cubs 3 at San Diego 2,Wood (5-4),Buckner (0-1),Rondon (6),42107,,,
25-May,Sun,Blue Jays,AL East,AL,at Toronto 3 Oakland 1,Happ (4-1),Pomeranz (4-2),Janssen (7),45277,,,
25-May,Sun,Tigers,AL Central,AL,Texas 12 at Detroit 4,Lewis (4-3),Verlander (5-4),,42583,,,
25-May,Sun,Marlins,NL East,NL,Milwaukee 7 at Miami 1,Nelson (1-0),Wolf (0-1),,21897,,,
25-May,Sun,Mets,NL East,NL,Arizona 2 at NY Mets 1,Marshall (2-0),Mejia (4-1),Reed (14),N/A,,,
25-May,Sun,Orioles,AL East,AL,at Baltimore 4 Cleveland 2,Gonzalez (3-3),Bauer (1-2),Britton (2),37649,,,
25-May,Sun,Phillies,NL East,NL,LA Dodgers 6 at Philadelphia 0,Beckett (3-1),Burnett (3-4),,36141,,,
25-May,Sun,Pirates,NL Central,NL,Washington 5 at Pittsburgh 2,Fister (2-1),Liriano (0-5),Soriano (11),38047,,,
25-May,Sun,Rays,AL East,AL,at Tampa Bay 8 Boston 5,Peralta (2-3),Breslow (2-1),Balfour (9),26199,,,
25-May,Sun,White Sox,AL Central,AL,NY Yankees 7 at Chicago White Sox 1,Tanaka (7-1),Rienzo (4-1),,39142,,,
25-May,Sun,Angels,AL West,AL,at LA Angels 4 Kansas City 3,Kohn (2-1),Collins (0-3),Frieri (6),36114,,,
25-May,Sun,Giants,NL West,NL,at San Francisco 8 Minnesota 1,Bumgarner (6-3),Nolasco (2-5),,42590,y,,
25-May,Sun,Mariiners,AL West,AL,Houston 4 at Seattle 1,Keuchel (6-2),Iwakuma (3-1),,26839,,,
25-May,Sun,Padres,NL West,NL,at San Diego 4 Chicago Cubs 3,Kennedy (3-6),Hammel (5-3),Street (14),32167,,,
25-May,Sun,Mets,NL East,NL,at NY Mets 4 Arizona 2,Matsuzaka (2-0),Spruill (0-1),Mejia (3),30785,,,
25-May,Sun,Braves,NL East,NL,at Atlanta 7 Colorado 0,Teheran (4-3),Morales (3-4),,35565,,,
25-May,Sun,Reds,NL Central,NL,St. Louis 4 at Cincinnati 0,Wainwright (8-2),Leake (2-4),,42273,,,
26-May,Mon,Braves,NL East,NL,Boston 8 at Atlanta 6,Mujica (2-1),Thomas (1-2),Uehara (10),48501,y,,
26-May,Mon,Mets,NL East,NL,Pittsburgh 5 at NY Mets 3,Watson (5-0),Valverde (1-1),Melancon (10),29309,,,
26-May,Mon,Nationals,NL East,NL,Miami 3 at Washington 2,Eovaldi (4-2),Roark (3-3),Cishek (11),33677,,,
26-May,Mon,White Sox,AL Central,AL,at Chicago White Sox 6 Cleveland 2,Quintana (3-4),Tomlin (3-2),Downs (1),17075,,,
26-May,Mon,Brewers,NL Central,NL,Baltimore 7 at Milwaukee 6,O'Day (2-0),Wooten (1-2),Britton (3),42889,y,,
26-May,Mon,Twins,AL Central,AL,Texas 7 at Minnesota 2,Tepesch (2-0),Correia (2-6),,30571,,,
26-May,Mon,Cardinals,NL Central,NL,NY Yankees 6 at St. Louis 4,Aceves (1-2),Choate (0-2),Robertson (11),47311,y,,
26-May,Mon,Athletics,AL West,AL,at Oakland 10 Detroit 0,Milone (3-3),Smyly (2-3),,35067,,,
26-May,Mon,Giants,NL West,NL,Chicago Cubs 8 at San Francisco 4,Samardzija (1-4),Petit (3-2),,42257,,,
26-May,Mon,Mariiners,AL West,AL,at Seattle 5 LA Angels 1,Young (4-2),Skaggs (4-2),,22710,,,
26-May,Mon,Phillies,NL East,NL,at Philadelphia 9 Colorado 0,Kendrick (1-5),Chacin (0-4),,27289,,,
26-May,Mon,Blue Jays,AL East,AL,at Toronto 10 Tampa Bay 5,Hutchison (4-3),Bedard (2-3),,15616,,,
26-May,Mon,Royals,AL Central,AL,Houston 9 at Kansas City 2,Feldman (3-2),Ventura (2-5),,32070,,,
26-May,Mon,Dodgers,NL West,NL,at LA Dodgers 4 Cincinnati 3,Ryu (4-2),Cueto (4-4),Jansen (15),45505,,,
26-May,Mon,Dbacks,NL West,NL,at Arizona 7 San Diego 5,Ziegler (1-1),Quackenbush (0-1),,35580,,,
27-May,Tues,Braves,NL East,NL,Boston 6 at Atlanta 3,Lester (5-6),Varvaro (1-1),Uehara (11),37168,y,,
27-May,Tues,Nationals,NL East,NL,Miami at Washington,Postponed,,,N/A,,,
27-May,Tues,Phillies,NL East,NL,Colorado 6 at Philadelphia 2,De La Rosa (6-3),Hamels (1-3),,23159,,,
27-May,Tues,Blue Jays,AL East,AL,at Toronto 9 Tampa Bay 6,Buehrle (9-1),Cobb (1-2),Janssen (8),15993,,,
27-May,Tues,Mets,NL East,NL,at NY Mets 4 Pittsburgh 2,Black (1-0),Gomez (0-2),Mejia (4),20263,,,
27-May,Tues,White Sox,AL Central,AL,at Chicago White Sox 2 Cleveland 1,Carroll (2-3),Masterson (2-4),Belisario (3),14237,,,
27-May,Tues,Royals,AL Central,AL,Houston 3 at Kansas City 0,McHugh (3-3),Guthrie (2-4),,17826,,,
27-May,Tues,Brewers,NL Central,NL,at Milwaukee 7 Baltimore 6,Rodriguez (2-1),McFarland (0-1),,25552,y,,
27-May,Tues,Twins,AL Central,AL,at Minnesota 4 Texas 3,Perkins (2-0),Soria (1-2),,22702,,,
27-May,Tues,Cardinals,NL Central,NL,at St. Louis 6 NY Yankees 0,Lynn (6-2),Phelps (1-2),,45202,y,,
27-May,Tues,Dbacks,NL West,NL,San Diego 4 at Arizona 3,Quackenbush (1-1),Marshall (2-1),Street (15),17862,,,
27-May,Tues,Dodgers,NL West,NL,at LA Dodgers 6 Cincinnati 3,Greinke (8-1),Simon (6-3),Jansen (16),46013,,,
27-May,Tues,Athletics,AL West,AL,Detroit 6 at Oakland 5,Alburquerque (2-1),Abad (0-2),Nathan (12),21549,,,
27-May,Tues,Mariiners,AL West,AL,LA Angels 6 at Seattle 4,Weaver (6-3),Elias (3-4),Frieri (7),13064,,,
27-May,Tues,Giants,NL West,NL,at San Francisco 4 Chicago Cubs 0,Hudson (5-2),Arrieta (1-1),,41060,,,
28-May,Weds,Mets,NL East,NL,at NY Mets 5 Pittsburgh 0,Colon (4-5),Morton (1-7),Familia (1),34839,,,
